Субъект федерации	Стоимость турпакетов	Среднедушевой доход	Расстояние до Москвы	Географическая широта	Численность населения	Федеральный округ
Алтайский край	1229074,60	12499,90	3785,00	59,00	2419755,00	УФО
Амурская область	1346601,50	17789,70	7620,00	75,00	830103,00	ДВФО
Архангельская область	1885543,80	21454,80	1318,00	68,00	1227626,00	СЗФО
Ненецкий авт.округ	93648,10	54632,30	2217,00	50,00	42090,00	УФО
Астраханская область	673073,80	16032,00	1394,00	65,00	1010073,00	УФО
Белгородская область	566534,10	18799,70	733,00	69,00	1532526,00	СФО
Брянская область	408090,50	15347,60	386,00	48,00	1278217,00	ЦФО
Владимирская область	1181080,50	14312,20	184,00	63,00	1443693,00	ЦФО
Волгоградская область	1314464,20	14519,40	971,00	62,00	2610161,00	СФО
Вологодская область	1124160,60	15637,90	763,00	49,00	1202444,00	СФО
Воронежская область	531492,10	15908,50	640,00	69,00	2335380,00	ЦФО
Нижегородская область	4535965,00	18336,70	466,00	67,00	3310597,00	ПФО
Ивановская область	455192,40	13005,50	299,00	71,00	1061651,00	ЦФО
Иркутская область	2240714,60	16017,20	5211,00	64,00	2428750,00	СФО
Калининградская область	1462015,60	16880,50	1089,00	65,00	941873,00	СЗФО
Тверская область	1061651,90	14943,40	264,00	75,00	1353392,00	ЦФО
Калужская область	701463,10	17556,90	231,00	51,00	1010930,00	ЦФО
Краснодарский край	4907238,90	18796,00	1277,00	46,00	5226647,00	ЮФО
Камчатский край	655703,50	28964,90	628,00	65,00	322079,00	ДВФО
Кемеровская область	3196791,30	16666,00	3670,00	51,00	2763135,00	СФО
Кировская область	696494,30	14675,00	995,00	52,00	1341312,00	ПФО
Костромская область	470345,40	14574,30	582,00	66,00	667562,00	ЦФО
Самарская область	2427929,40	21756,10	1038,00	45,00	3215532,00	ПФО
Курганская область	534906,10	14353,00	2009,00	63,00	910807,00	УФО
Курская область	524203,30	16386,90	553,00	60,00	1127081,00	ДВФО
Красноярский край	2126292,70	20145,50	4132,00	50,00	2828187,00	СКФО
г.Санкт-Петербург	12826206,30	26068,80	706,00	62,00	4879566,00	СЗФО
Ленинградская обл...	439533,70	15931,80	761,00	72,00	1716868,00	СКФО
Липецкая область	740556,10	16811,30	422,00	72,00	1173513,00	ЦФО
