CONTENT;TYPE_HOTLINE;class
Здравствуйте! Поступила в ваш институт на бюджет Педиатрического факультета. Написала отказ от зачисления, как удостоверится в том, что меня отчислили? С уважнием, Ксения.;2;1
"Здравствуйте! Я прошла конкурс по трем дисциплинам, зачислена дисциплину по #-й приоритету, возможно ли перейти сейчас на  другой приоритет(управление персоналом) или ""поезд ушел""?";2;6
Здравствуйте! Скажите пожалуйста могу ли я подать документы на направление Экология если в этом году ЕГЭ в ## классе Не сдавала есть результаты года за # класс русского языка,  математики,  и география.;2;1
Здравствуйте! Где взять и куда подать заявление об отчислении?;2;1
Здравствуйте! Есть два высших образования (платные), могу ли я поступить на бесплатное заочное. Интересуют направления - начальное образование и управление персоналом? Что необходимо для поступления?;2;1
Здравствуйте,возможен ли перевод в ваш вуз на лечебный факультет из мед.вуза,где я сейчас учусь на программе специалитета -медицинская биохимия(везде бюджетная форма) С уважнием, Александра Григорьевна.;1;6
Здравствуйте!  Можно ещё подать заявку  на поступления? С уважнием, Лебедева Диана Николаевна;2;1
"Здравствуйте!

не хватило # балла по биологии. Может ли она пересдать экзамен по билогии на направление Экология и природопользование

Биология- ##, Химия -## Русский - ##

спасибо С уважнием, Максим .";1;5
"Здравствуйте! Не нашли информацию. Какие результаты ЕГЭ будут требоваться для поступления на факультет ""Физич.культура""";2;5
"Здравствуйте!мое первое высшее образование платное квалификация экономист по специальности""Бухучет, есть ли у меня варианты бесплатного обучения на факультете психологии (педагогический или физкультура)";2;1
"Здравствуйте! Я хотела бы узнать, почему во вторую волну на направление "" психолого-педагогическое образование"" по профилю ""педаго-психолог дошкольного образования "" прошли те, кто суммарно набрал менее ### баллов? А еще хотела спросить, есть ли у меня шансы попасть, если суммарно я прохожу, а по биологии не хватило буквально #х первичных баллов, которые мне сняли из части ""С""? Хотя там есть правильные ответы, за которые можно дать баллы (при необходимости могу показать работу).";2;2
Здравствуйте!  Есть Российское гражданство, но школу оканчивала в ####. В этом году подавала документы на биофак в университет, но, из-за разницы программ -- отказали. Возможно ли её обучение ? Русский язык у нее разговорный и свободно читает на нём. С уважнием, Анна;2;1
Здравствуйте! Она хочет поступать в институт физической культуры спорта и туризма на специальность учитель физкультуры и ОБЖ. Скажите, пожалуйста, нужно ли для поступления сдавать ЕГЭ по физкультуре в школе? Спасибо.;2;5
Здравствуйте! Есть ли возможность поступления на направления, по которым ведется дополнительный набор, если егэ физика ## баллов, а требуется ## (русский ##, математика ##). Спасибо.;2;2
Здравствуйте! Хочу перевестись с одного направления на другое, но не могу найти на сайте информацию о наличие вакантных мест.;1;6
Здравствуйте! Я хотела узнать о сроках приема документов на заочное отделение?;2;1
Здравствуйте! Я подал документы для поступления. На базе ## классов. Но егэ я не сдавал. Можно ли мне сдать их как вступительный экзамен?;2;5
Здравствуйте! Интересует поступление на доп.места .  Школу окончила  . Не сдавала биологию . А для поступления она нужна.  Можно ли сдать биологию. ? Интересует заочное отделение;2;5
Здравствуйте! Могу ли я подать документы на допнабор на специальность , если я не сдавала химию?;2;1
Здравствуйте! Подскажите пожалуйста имею ли я право на вступительные испытания Вуза на заочное отделение на бюджет, как инвалид, но у меня есть высшее педагогическое образование.;2;1
Здравствуйте!Подскажите пожалуйста могу ли я перевестись на заочное отделение # курс с другого университета?;1;6
Здравствуйте!Добрый вечер. Подскажите меня интересует дополнительные бюджетные места. подавал на Ваше отделение но по баллам не прошел. Закончил школу с золотой медалью. Хотели бы узнать, как можно рассчитывать на эти места? Александр .;3;3
"Здравствуйте!

В каком разделе портфолио можно узнать, в какое общежитие меня определили?";1;4
Здравствуйте! Какие конкретно страницы прививочного сертификата нужно прислать для подачи заявления на заселение?;2;4
"Здравствуйте!я прочитала информацию о том,что есть ## бюджетных мест на заочное отделение

У меня есть уже диплом 

Могу ли я поступить к вам?и какие специальности?спасибо";2;1
Здравствуйте,увидела у вас дополнительное бюджетное место на Менеджмента, код направления. Есть ли еще возможность попасть на бюджетное место? Закончила ## классов, средний балл аттестата С уважнием, Михайлов Лев ;2;1
Здравствуйте! Не поздно ли ещё подать на платное обучение? С уважнием, Никитин Егор ;2;1
"Здравствуйте,увидела у вас дополнительное бюджетное место на Менеджмента,  код направление. Есть ли еще возможность попасть на бюджетное место?

Закончила ## классов, средний балл аттестата . твуйте! С уважнием, Юлия.";3;1
Здравствуйте! Можно ли подать документы на платной основе по специальности Электроэнергетика и электротехника. Если нет, то на какие возможно. Спасибо. С уважнием, Макаров Богдан Евгеньевич;2;1
Здравствуйте! Мой регистрационный номер не прошел по баллам на очное отделение,хотел пройти испытания по физике,т.к ЕГЭ сдавал по русскому языку,математики и информатики.;1;5
Здравствуйте! Могу ли я получить логин и пароль от личного кабинета? С уважнием, Алина;1;8
Здравствуйте! собираюсь поступать заочно. результат экзамена по русскому у меня есть. нужно сдать лишь биологию и математику.   Увидела,что эти два предмета сдаются в один день.Как это все будет?;2;5
Здравствуйте! Как можно подать документы на дополнительные места;2;1
